,Cohort Year,LEA Type,LEA Name,School Name,Grad Rate
1586,2022,District,Iron District,Canyon View High,0.976
1599,2022,District,Iron District,Cedar City High,0.891
1612,2022,District,Iron District,Launch High,0.8
1625,2022,District,Iron District,Parowan High,0.95
1638,2022,District,Iron District,Southwest Educational Academy,0.595
1651,2022,District,Jordan District,Bingham High,0.956
1664,2022,District,Jordan District,Copper Hills High,0.86
1677,2022,District,Jordan District,Herriman High,0.965
1690,2022,District,Jordan District,Kauri Sue Hamilton,0.2
1703,2022,District,Jordan District,Kings Peak High,0.778
1716,2022,District,Jordan District,Mountain Ridge High,0.94
1729,2022,District,Jordan District,Riverton High,0.939
1755,2022,District,Jordan District,Valley High School,0.872
1768,2022,District,Jordan District,West Jordan High,0.802
1781,2022,District,Juab District,Juab High,0.959
1794,2022,District,Kane District,Kanab High,0.95
1807,2022,District,Kane District,Valley High,0.9
1820,2022,District,Logan City District,Logan High,0.898
1833,2022,District,Millard District,Delta High,0.908
1859,2022,District,Millard District,Millard High,0.95
1872,2022,District,Morgan District,Morgan High,0.936
1898,2022,District,Murray District,Murray High,0.79
1911,2022,District,Nebo District,Landmark High,0.81
1924,2022,District,Nebo District,Maple Mountain High,0.977
1937,2022,District,Nebo District,Payson High,0.914
1950,2022,District,Nebo District,Salem Hills High,0.967
1963,2022,District,Nebo District,Spanish Fork High,0.974
1976,2022,District,Nebo District,Springville High,0.922
1989,2022,District,North Sanpete District,North Sanpete High,0.918
2002,2022,District,North Sanpete District,Pleasant Creek High School,0.7
2015,2022,District,North Summit District,North Summit High,0.934
2028,2022,District,Ogden City District,Ben Lomond High,0.911
2041,2022,District,Ogden City District,George Washington High,0.684
2054,2022,District,Ogden City District,Malan's Peak Secondary,0.3
2067,2022,District,Ogden City District,Ogden High,0.955
2093,2022,District,Park City District,Park City High,0.944
2106,2022,District,Piute District,Piute High,0.8
2119,2022,District,Provo District,Independence High,0.789
2145,2022,District,Provo District,Provo High,0.904
2158,2022,District,Provo District,Slate Canyon,0.3
2171,2022,District,Provo District,Timpview High,0.938
2184,2022,District,Rich District,Rich High,0.9
2197,2022,District,Salt Lake District,East High,0.826
2210,2022,District,Salt Lake District,Highland High,0.825
2223,2022,District,Salt Lake District,Horizonte Instruction & Training Center,0.265
2236,2022,District,Salt Lake District,Innovations High School,0.865
2249,2022,District,Salt Lake District,West High,0.818
2262,2022,District,San Juan District,Monticello High,0.95
2275,2022,District,San Juan District,Monument Valley High,0.9
2288,2022,District,San Juan District,Navajo Mountain High,0.8
2301,2022,District,San Juan District,San Juan High,0.859
2314,2022,District,San Juan District,Whitehorse High,0.929
2327,2022,District,Sevier District,Cedar Ridge High,0.231
2340,2022,District,Sevier District,North Sevier High,0.889
2353,2022,District,Sevier District,Richfield High,0.938
2366,2022,District,Sevier District,South Sevier High,0.93
2379,2022,District,South Sanpete District,Gunnison Valley High,0.95
2392,2022,District,South Sanpete District,Manti High,0.906
2418,2022,District,South Summit District,Silver Summit Academy,0.8
2431,2022,District,South Summit District,South Summit High,0.919
2444,2022,District,Tintic District,Tintic High,0.9
2470,2022,District,Tooele District,Blue Peak High,0.27
2483,2022,District,Tooele District,Digital Education Center,0.457
2496,2022,District,Tooele District,Dugway,0.8
2509,2022,District,Tooele District,Grantsville High,0.905
2522,2022,District,Tooele District,Stansbury High,0.911
2535,2022,District,Tooele District,Tooele High,0.902
2548,2022,District,Tooele District,Wendover High,0.9
2561,2022,District,Uintah District,Ashley Valley Educ. Ctr.,0.796
2574,2022,District,Uintah District,Uintah High,0.89
2626,2022,District,Wasatch District,Wasatch High,0.932
2639,2022,District,Washington District,Crimson Cliffs High,0.972
2652,2022,District,Washington District,Desert Hills High,0.946
2665,2022,District,Washington District,Dixie High,0.887
2678,2022,District,Washington District,Enterprise High,0.917
2691,2022,District,Washington District,Hurricane High,0.956
2704,2022,District,Washington District,Millcreek High,0.921
2717,2022,District,Washington District,Pine View High,0.919
2730,2022,District,Washington District,Snow Canyon High,0.956
2743,2022,District,Washington District,Utah Online 7-12,0.953
2756,2022,District,Washington District,Water Canyon High,0.667
2769,2022,District,Wayne District,Wayne High,0.9
2782,2022,District,Weber District,Bonneville High,0.897
2795,2022,District,Weber District,Fremont High,0.969
2808,2022,District,Weber District,Horizon Academy,0.333
2821,2022,District,Weber District,Roy High,0.912
2834,2022,District,Weber District,Two Rivers High,0.954
2847,2022,District,Weber District,Weber High,0.936
2860,2022,District,Weber District,Weber Innovation High School,0.924
